stock_id,meanAnnualReturn,standardDeviation
368,0.7,21.23
368,0.76,19.11
368,0.82,16.61
369,0.98,18.93
369,0.91,17.97
369,1.06,14.96
370,0.94,19.75
370,0.79,18.68
370,0,0
371,0.01,22.33
371,-0.41,21.83
371,0.92,18.92
372,0.93,19.24
372,0.89,18.07
372,0,0
373,0.24,11.03
373,-0.02,10.29
373,0.32,9.54
374,0,0
374,-0.1,18.99
374,0,0
